"","Kingdom","Phylum","Class","Order","Family","Genus","OTU","Sum"
"otu_3","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae","MethyloligellaceaeFA","otu_3",1222941.37097247
"otu_27","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Crenothrix","otu_27",598945.274371095
"otu_28","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae","Methyloceanibacter","otu_28",561806.103959281
"otu_37","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae","Methyloceanibacter","otu_37",444980.625268014
"otu_43","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylocystis","otu_43",430652.646026545
"otu_189","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylobacter","otu_189",144170.312328017
"otu_230","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Crenothrix","otu_230",125857.300818892
"otu_373","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylosarcina","otu_373",80442.909917885
"otu_359","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","MethylomonadaceaeFA","otu_359",78678.1714437162
"otu_406","Archaea","Halobacterota","Methanosarcinia","Methanosarciniales","Methanoperedenaceae","Cand. Methanoperedens","otu_406",71364.2723716281
"otu_506","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylovulum","otu_506",61957.373852525
"otu_638","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methyloparacoccus","otu_638",48573.2547795041
"otu_747","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylomarinum","otu_747",47272.1813465578
"otu_709","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylobacter","otu_709",45556.2822356966
"otu_700","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae","MethyloligellaceaeFA","otu_700",38510.9171451241
"otu_873","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylomonas","otu_873",37686.8470748747
"otu_899","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","MethylomonadaceaeFA","otu_899",29866.476330633
"otu_1025","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae","MethyloligellaceaeFA","otu_1025",27682.9012034665
"otu_1212","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methylocaldum","otu_1212",25936.5022002678
"otu_1274","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Crenothrix","otu_1274",24365.9148625216
"otu_1629","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","IheB2-23","otu_1629",18788.3528471976
"otu_1755","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae","MethyloligellaceaeFA","otu_1755",16982.4831650705
"otu_2015","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Crenothrix","otu_2015",16068.5579030065
"otu_1919","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","pItb-vmat-59","otu_1919",15849.9355217063
"otu_2051","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","MethylomonadaceaeFA","otu_2051",15077.7407697107
"otu_2017","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium-Methylorubrum","otu_2017",14756.8792341556
"otu_2244","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","pLW-20","otu_2244",14542.1945297687
"otu_2232","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylobacter","otu_2232",13840.3530392613
"otu_2364","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylovulum","otu_2364",13689.5909464898
"otu_2404","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methyloparacoccus","otu_2404",13602.6575280462
"otu_2570","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","MethylococcaceaeFA","otu_2570",12761.677546423
"otu_2484","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methylomagnum","otu_2484",11635.8998041356
"otu_2749","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methylocaldum","otu_2749",10934.97836996
"otu_2941","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","pItb-vmat-59","otu_2941",10631.779222814
"otu_2903","Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Methylophagaceae","Methylophaga","otu_2903",10479.2803745523
"otu_2787","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae","MethyloligellaceaeFA","otu_2787",9961.54518342919
"otu_3598","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Crenothrix","otu_3598",8258.91538201457
"otu_4212","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylobacter","otu_4212",8005.33552193319
"otu_3285","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae","MethyloligellaceaeFA","otu_3285",7913.07484330839
"otu_3944","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","MethylomonadaceaeFA","otu_3944",7454.77855310805
"otu_4246","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","MethylomonadaceaeFA","otu_4246",7220.91493011305
"otu_3766","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","MethylomonadaceaeFA","otu_3766",7095.39943105857
"otu_4327","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","MethylomonadaceaeFA","otu_4327",6694.81194073929
"otu_4829","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylobacter","otu_4829",6590.3231631848
"otu_4368","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methyloparacoccus","otu_4368",6492.09202465674
"otu_4269","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae","Methyloceanibacter","otu_4269",6455.16806159808
"otu_4532","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae","MethyloligellaceaeFA","otu_4532",6081.67852820419
"otu_4882","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae","MethyloligellaceaeFA","otu_4882",5738.5845608699
"otu_4919","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylobacter","otu_4919",5703.80929059438
"otu_5518","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methylocaldum","otu_5518",5668.90421883209
"otu_5099","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylomonas","otu_5099",5598.4765167806
"otu_5249","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methyloglobulus","otu_5249",5467.55009010204
"otu_5739","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylosinus","otu_5739",4799.35964575804
"otu_5932","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylomonas","otu_5932",4676.57925910532
"otu_6128","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylobacter","otu_6128",4441.11890193867
"otu_6095","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methyloglobulus","otu_6095",4219.87636466093
"otu_6250","Archaea","Halobacterota","Methanosarcinia","Methanosarciniales","Methanosarcinaceae","ANME-3","otu_6250",4134.61100458411
